system:index,date,ndvi,.geo
20230322T074611_20230322T080452_T36NYG,2023-03-22,0.14279330989634154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230327T074619_20230327T080456_T36NYG,2023-03-27,0.1323559587290735,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230401T074611_20230401T080452_T36NYG,2023-04-01,0.17838030726442888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230406T074619_20230406T080253_T36NYG,2023-04-06,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230411T074611_20230411T080453_T36NYG,2023-04-11,0.3566807232921169,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230416T074609_20230416T080454_T36NYG,2023-04-16,0.31703503786836246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230421T074611_20230421T080900_T36NYG,2023-04-21,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230426T074619_20230426T080455_T36NYG,2023-04-26,0.25599804840184337,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230501T074611_20230501T080449_T36NYG,2023-05-01,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230506T074619_20230506T080456_T36NYG,2023-05-06,0.5871853876515544,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230511T074611_20230511T080448_T36NYG,2023-05-11,0.6647243965800701,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230516T074619_20230516T080453_T36NYG,2023-05-16,0.7479106083194867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230521T074611_20230521T080451_T36NYG,2023-05-21,0.7988599982755722,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230526T074619_20230526T080453_T36NYG,2023-05-26,0.8116700316595498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230531T074621_20230531T080453_T36NYG,2023-05-31,0.8363591108775887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605T074619_20230605T080453_T36NYG,2023-06-05,0.7740302932330307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230610T074621_20230610T080453_T36NYG,2023-06-10,0.708684583041349,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T074619_20230615T080200_T36NYG,2023-06-15,0.8203380892787765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230620T074621_20230620T080453_T36NYG,2023-06-20,0.7909763015650908,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230625T074619_20230625T080453_T36NYG,2023-06-25,0.8192776584399591,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230630T074621_20230630T080627_T36NYG,2023-06-30,0.7972529687651465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230705T074619_20230705T080454_T36NYG,2023-07-05,0.753333012617038,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230710T074621_20230710T080454_T36NYG,2023-07-10,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230715T074619_20230715T080454_T36NYG,2023-07-15,0.7938600704987442,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230720T074621_20230720T080453_T36NYG,2023-07-20,0.7811695765170579,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230725T074619_20230725T075912_T36NYG,2023-07-25,0.7713383815677362,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230730T074621_20230730T080454_T36NYG,2023-07-30,0.7755074113885226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230804T074619_20230804T080453_T36NYG,2023-08-04,0.7519667133103569,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230814T074619_20230814T080122_T36NYG,2023-08-14,0.6905062150123364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230819T074621_20230819T080821_T36NYG,2023-08-19,0.6375268483129666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230824T074619_20230824T075932_T36NYG,2023-08-24,0.5733154481076809,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230829T074621_20230829T080816_T36NYG,2023-08-29,0.4979006412164053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230903T074619_20230903T080037_T36NYG,2023-09-03,0.4872309138493271,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230908T074621_20230908T080903_T36NYG,2023-09-08,0.4921373627424165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230913T074619_20230913T080036_T36NYG,2023-09-13,0.5096332376761749,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230918T074611_20230918T080818_T36NYG,2023-09-18,0.4317067388495912,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230923T074629_20230923T080452_T36NYG,2023-09-23,0.5338587036370013,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230928T074711_20230928T080659_T36NYG,2023-09-28,0.5596209980219329,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231003T074739_20231003T080449_T36NYG,2023-10-03,0.5896926685484105,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231008T074811_20231008T080656_T36NYG,2023-10-08,0.6129544753977365,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231013T074849_20231013T080451_T36NYG,2023-10-13,0.6463450411507639,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231018T074921_20231018T080658_T36NYG,2023-10-18,0.42418385623684396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231023T074959_20231023T080451_T36NYG,2023-10-23,0.36846483408571923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231028T075021_20231028T080656_T36NYG,2023-10-28,0.3102504267312412,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231102T075009_20231102T080452_T36NYG,2023-11-02,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231112T075059_20231112T080450_T36NYG,2023-11-12,0.2996445249426656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231117T075211_20231117T080434_T36NYG,2023-11-17,0.2584132109457604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231122T075129_20231122T080445_T36NYG,2023-11-22,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231127T075241_20231127T080508_T36NYG,2023-11-27,0.42207092785030287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231202T075209_20231202T080446_T36NYG,2023-12-02,0.39667177919401037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231207T075311_20231207T080537_T36NYG,2023-12-07,0.3793858327041443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231212T075229_20231212T080454_T36NYG,2023-12-12,0.4165856334379535,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231217T075331_20231217T080554_T36NYG,2023-12-17,0.4548083490174653,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231222T075239_20231222T080508_T36NYG,2023-12-22,0.44799515884948865,"{""type"":""MultiPoint"",""coordinates"":[]}"
