uuid,year,high_ndmi_days
0a45f454-4eea-4fa3-8059-38bbb8838c5f,2021,30
0a45f454-4eea-4fa3-8059-38bbb8838c5f,2022,35
0a45f454-4eea-4fa3-8059-38bbb8838c5f,2023,20
0a45f454-4eea-4fa3-8059-38bbb8838c5f,2024,15
0a67ee18-d418-4bda-8d4b-02a47cdfe966,2021,0
0a67ee18-d418-4bda-8d4b-02a47cdfe966,2022,0
0a67ee18-d418-4bda-8d4b-02a47cdfe966,2023,5
0a911d25-82d7-4d15-8ed0-ac5c72c278b5,2020,10
0a911d25-82d7-4d15-8ed0-ac5c72c278b5,2023,5
0add168c-7975-41a9-b278-51cf885313e4,2020,75
0add168c-7975-41a9-b278-51cf885313e4,2022,65
0add168c-7975-41a9-b278-51cf885313e4,2023,60
0add168c-7975-41a9-b278-51cf885313e4,2024,20
0af00528-5fef-46a8-b015-07c86868e526,2024,0
0b04ea72-0a40-4c8c-8f8d-a791bc3c3072,2020,0
0b59e18e-a099-431b-aeab-edc587fe3b65,2020,0
0b59e18e-a099-431b-aeab-edc587fe3b65,2023,0
0b59e18e-a099-431b-aeab-edc587fe3b65,2024,5
0b723be9-c7b2-43c2-be0b-78e907030689,2020,60
0b723be9-c7b2-43c2-be0b-78e907030689,2021,10
0b723be9-c7b2-43c2-be0b-78e907030689,2023,40
0baa2dc8-670c-49ee-9542-c32e62cedf1c,2020,5
0bddc041-6d64-4566-9c11-8ef88bbde55b,2021,20
0bddc041-6d64-4566-9c11-8ef88bbde55b,2022,15
0bddc041-6d64-4566-9c11-8ef88bbde55b,2023,55
0c9abe86-ccfc-4045-8914-fe754878ed73,2021,20
0c9abe86-ccfc-4045-8914-fe754878ed73,2023,15
0c9abe86-ccfc-4045-8914-fe754878ed73,2024,20
0c9d4752-bfc4-4655-9ca8-22807001867c,2020,5
0c9d4752-bfc4-4655-9ca8-22807001867c,2022,5
0c9d4752-bfc4-4655-9ca8-22807001867c,2023,45
0c9d4752-bfc4-4655-9ca8-22807001867c,2024,35
0ca10980-1162-4835-bc66-70ca2396a835,2020,10
0ca10980-1162-4835-bc66-70ca2396a835,2023,35
