uuid,ndvi_peak_date,ndvi_peak_value,peak_position
017b0181-1f40-4d0e-bec0-0d67c9ea1004,2023-12-19,0.7663151927437651,1
017b0181-1f40-4d0e-bec0-0d67c9ea1004,2024-04-27,0.5908299319727898,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2020-05-18,0.8002108843537429,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2021-01-03,0.7684421768707485,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2021-05-18,0.6411655328798194,2
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2021-12-24,0.6692267573696141,3
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2022-04-28,0.6536439909297058,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2023-01-18,0.5551791383219974,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2023-05-18,0.6413945578231299,2
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2023-12-14,0.7198673469387764,3
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2024-05-02,0.8369319727891165,1
01a2b0d3-e821-487a-b3e7-e97d71a1729c,2024-12-23,0.6676383219954634,2
01b4bcce-2e66-4b7d-9a82-4688c764850b,2020-12-04,0.5870362811791392,1
01b4bcce-2e66-4b7d-9a82-4688c764850b,2021-12-29,0.58188888888889,1
01b4bcce-2e66-4b7d-9a82-4688c764850b,2022-12-19,0.4575941043083899,1
01b4bcce-2e66-4b7d-9a82-4688c764850b,2023-12-14,0.5751927437641733,1
01d37195-7ac6-41d4-a395-08fe99000252,2020-12-14,0.7152902494331083,1
01d37195-7ac6-41d4-a395-08fe99000252,2021-02-27,0.49504308390022816,1
01d37195-7ac6-41d4-a395-08fe99000252,2021-12-24,0.6377823129251688,2
01d37195-7ac6-41d4-a395-08fe99000252,2023-12-29,0.7185056689342416,1
01d37195-7ac6-41d4-a395-08fe99000252,2024-04-27,0.6734331065759654,1
01e7bbeb-8e36-4b16-884f-8008646f9da8,2020-12-19,0.6210578231292512,1
01e7bbeb-8e36-4b16-884f-8008646f9da8,2021-12-29,0.6420861678004544,1
01e7bbeb-8e36-4b16-884f-8008646f9da8,2023-01-03,0.6410243764172345,1
01e7bbeb-8e36-4b16-884f-8008646f9da8,2023-05-18,0.5250113378684802,2
01e7bbeb-8e36-4b16-884f-8008646f9da8,2023-12-04,0.5739795918367349,3
01e7bbeb-8e36-4b16-884f-8008646f9da8,2024-05-27,0.5442705971277402,1
01eb4109-d92c-4c38-bb0a-feba844266ec,2020-12-14,0.7247256235827684,1
01eb4109-d92c-4c38-bb0a-feba844266ec,2022-01-03,0.7226825396825416,1
01eb4109-d92c-4c38-bb0a-feba844266ec,2024-01-08,0.8336111111111127,1
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2020-12-14,0.7313015873015887,1
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2021-12-29,0.6582154195011336,1
