uuid,year,high_ndmi_days
081278f7-5a3a-4ce4-a7cc-317932897926,2022,360
081278f7-5a3a-4ce4-a7cc-317932897926,2023,10
0824f5c8-214c-403b-8651-d3f92c5c6ab0,2023,10
0824f5c8-214c-403b-8651-d3f92c5c6ab0,2024,5
08307cbf-a86d-4187-bedb-69082d1f5175,2020,5
08307cbf-a86d-4187-bedb-69082d1f5175,2021,5
08307cbf-a86d-4187-bedb-69082d1f5175,2022,5
08307cbf-a86d-4187-bedb-69082d1f5175,2023,5
08307cbf-a86d-4187-bedb-69082d1f5175,2024,355
0836aba2-f6bb-4336-afca-ee523914c2ef,2023,10
0836aba2-f6bb-4336-afca-ee523914c2ef,2024,360
08429f3c-1c54-4d27-817f-812f3c8bf493,2023,15
08429f3c-1c54-4d27-817f-812f3c8bf493,2024,0
084cd735-870d-4a84-b95f-9d6a25953b74,2023,0
0870cb27-6b99-4fa2-b34f-27f10a88bbe4,2023,0
0870cb27-6b99-4fa2-b34f-27f10a88bbe4,2024,0
08bb635a-375d-4aef-8388-06b5be5b34a7,2023,0
08bb635a-375d-4aef-8388-06b5be5b34a7,2024,0
08c03874-c9c2-4e9b-b547-4d397f98b19a,2020,355
08c03874-c9c2-4e9b-b547-4d397f98b19a,2021,360
08c03874-c9c2-4e9b-b547-4d397f98b19a,2022,5
08c03874-c9c2-4e9b-b547-4d397f98b19a,2023,0
08c03874-c9c2-4e9b-b547-4d397f98b19a,2024,345
0902d4bf-8e0b-4830-94d6-82a5e102d345,2024,0
093221dc-2e2d-4b19-b0b9-a1d5e2e17716,2022,10
094c833c-54fb-41cc-8314-818de237ee68,2021,0
094c833c-54fb-41cc-8314-818de237ee68,2022,10
094c833c-54fb-41cc-8314-818de237ee68,2023,20
094c833c-54fb-41cc-8314-818de237ee68,2024,325
0957c5dd-8a7d-4711-89e9-818c72757785,2022,0
0957c5dd-8a7d-4711-89e9-818c72757785,2024,0
09a7ebd5-fcf1-4b27-8716-49f6b6d9d050,2021,5
09a7ebd5-fcf1-4b27-8716-49f6b6d9d050,2022,10
09a7ebd5-fcf1-4b27-8716-49f6b6d9d050,2023,15
09b368af-2183-403d-9de9-4c8b59d52dcb,2023,10
09c30c18-d562-45f4-bb37-c64222999b14,2024,25
09c97d6d-e759-4b4e-bb33-9a3a3f556971,2024,0
09d474ab-1038-46b3-a729-6c0378afc0ee,2023,15
09dab949-9c82-4c00-a478-8440710c7bba,2024,5
09f78923-6c25-4e7d-9275-a06178c3a4e5,2020,5
0a0ea3d8-b7ac-4f1e-bd53-02671da775f4,2023,5
0a0ea3d8-b7ac-4f1e-bd53-02671da775f4,2024,0
0a3cc5fa-aa06-4170-89e1-6cbc1fc02f16,2021,5
0a3cc5fa-aa06-4170-89e1-6cbc1fc02f16,2023,0
0a5bd90c-e65f-4041-a15b-42aa4fd9f5e7,2022,0
0a5be231-7922-4f78-9d96-9c953cf06c4b,2022,5
0a5be231-7922-4f78-9d96-9c953cf06c4b,2023,10
0a6497ce-0673-4714-af73-eac0d8022639,2020,10
0a6497ce-0673-4714-af73-eac0d8022639,2021,5
0a6497ce-0673-4714-af73-eac0d8022639,2022,5
0a6497ce-0673-4714-af73-eac0d8022639,2023,20
0a6497ce-0673-4714-af73-eac0d8022639,2024,355
0a6eaa76-7d68-4511-8b0e-8d53294833a1,2020,5
0a6eaa76-7d68-4511-8b0e-8d53294833a1,2021,0
0a6eaa76-7d68-4511-8b0e-8d53294833a1,2022,5
0a6eaa76-7d68-4511-8b0e-8d53294833a1,2024,5
0a8b9c69-a7ba-4b3a-90a8-0c7731d22739,2021,0
0a8b9c69-a7ba-4b3a-90a8-0c7731d22739,2022,0
0ad0b842-1de9-477b-b9b2-b099bf8659af,2024,5
0ae2a0af-4bcd-4358-a1aa-947888b17858,2023,10
0ae2a0af-4bcd-4358-a1aa-947888b17858,2024,20
0b579647-7558-4b75-8da1-9e6bfcc818c6,2020,10
0b579647-7558-4b75-8da1-9e6bfcc818c6,2023,10
0b579647-7558-4b75-8da1-9e6bfcc818c6,2024,15
0b59d4d6-79fd-45ad-8520-d66566d30ab5,2020,5
0b59d4d6-79fd-45ad-8520-d66566d30ab5,2021,10
0b59d4d6-79fd-45ad-8520-d66566d30ab5,2022,5
0b59d4d6-79fd-45ad-8520-d66566d30ab5,2024,5
0b636569-766b-40e3-83bf-d5df77c589ad,2024,0
0b896f96-86d9-447f-bdb5-a384f5a8688b,2021,0
0b896f96-86d9-447f-bdb5-a384f5a8688b,2023,10
0b896f96-86d9-447f-bdb5-a384f5a8688b,2024,0
0b953236-b2ad-4104-b36d-78fd45e7b48a,2020,10
0b953236-b2ad-4104-b36d-78fd45e7b48a,2021,0
0b97e3af-0548-41a6-8a08-29a34631581f,2020,25
0b97e3af-0548-41a6-8a08-29a34631581f,2021,360
0b97e3af-0548-41a6-8a08-29a34631581f,2022,350
0b97e3af-0548-41a6-8a08-29a34631581f,2023,0
0baab2c8-716d-4e39-9397-9aa9a7bf1b09,2020,25
0baab2c8-716d-4e39-9397-9aa9a7bf1b09,2021,0
0baab2c8-716d-4e39-9397-9aa9a7bf1b09,2022,10
0baab2c8-716d-4e39-9397-9aa9a7bf1b09,2023,0
0baab2c8-716d-4e39-9397-9aa9a7bf1b09,2024,5
0bacb46d-b46c-45e2-badb-17ac9e327f70,2024,10
0bbc7737-af8d-4b45-bf18-9e6ddf7be5f8,2024,0
0bbfd9ab-9117-4e8e-b299-3f4e4166c810,2020,0
0bdc464b-059d-436d-8b05-23fb585d7d2b,2020,0
0bdc464b-059d-436d-8b05-23fb585d7d2b,2021,25
0bdc464b-059d-436d-8b05-23fb585d7d2b,2022,5
0bdc464b-059d-436d-8b05-23fb585d7d2b,2023,10
0bdc464b-059d-436d-8b05-23fb585d7d2b,2024,10
0bdf57d9-aeba-4d1c-80f5-e30a8532976b,2021,0
0bdf57d9-aeba-4d1c-80f5-e30a8532976b,2022,5
0c1b1212-da2d-49d7-84ce-cc9fff28e3eb,2021,5
0c1b1212-da2d-49d7-84ce-cc9fff28e3eb,2022,5
0c1c376b-f475-44d5-8f19-9e1dc5eec1dc,2020,0
0c1c376b-f475-44d5-8f19-9e1dc5eec1dc,2023,10
0c1c376b-f475-44d5-8f19-9e1dc5eec1dc,2024,5
0c2afe7e-d97b-449f-a0b7-45bc2f78a143,2022,5
0c2afe7e-d97b-449f-a0b7-45bc2f78a143,2024,0
0c660925-dc26-412f-b4f7-b12695945210,2024,20
0c739c5a-938f-4b80-af85-3eef2754003f,2020,0
0c739c5a-938f-4b80-af85-3eef2754003f,2023,20
0c739c5a-938f-4b80-af85-3eef2754003f,2024,355
0c7e2b01-de70-47fc-80d1-1b4004996ff8,2021,5
0cf1aaa3-2fe0-49b0-aaec-12493c7eef3c,2023,10
0cf1aaa3-2fe0-49b0-aaec-12493c7eef3c,2024,0
0cf1ddd9-9eb9-4f03-a283-e4231a9fac57,2021,0
0cf1ddd9-9eb9-4f03-a283-e4231a9fac57,2022,10
0cf1ddd9-9eb9-4f03-a283-e4231a9fac57,2023,15
0cf35946-0284-48b9-9e4e-4aaa8d801c1a,2020,0
0cf35946-0284-48b9-9e4e-4aaa8d801c1a,2023,15
0cf35946-0284-48b9-9e4e-4aaa8d801c1a,2024,0
0d2b87c0-4e0b-4650-a4c7-c405feca8750,2024,10
0d46d056-2604-491e-9298-56dc746a1d69,2020,15
0d4baa25-0b00-4690-bc35-40830fe48d7f,2020,10
0d4baa25-0b00-4690-bc35-40830fe48d7f,2021,0
0d4baa25-0b00-4690-bc35-40830fe48d7f,2022,0
0d4baa25-0b00-4690-bc35-40830fe48d7f,2024,0
0d78737a-d269-45af-b758-42b0cc5568ad,2023,5
0d9bfb9b-dcf8-49da-8ed3-43088686224f,2023,0
0dc3e571-c7c7-4737-99ab-e18b86a37dea,2024,0
0dddabb8-20e9-4707-8815-c35479bc2967,2020,5
0dddabb8-20e9-4707-8815-c35479bc2967,2022,5
0dddabb8-20e9-4707-8815-c35479bc2967,2024,0
0e2d880a-3995-424c-9119-382e2fd476d0,2024,15
0e376820-ad88-4cd8-9479-581079a0a16c,2022,0
0e376820-ad88-4cd8-9479-581079a0a16c,2023,0
