uuid,ndvi_peak_date,ndvi_peak_value,peak_position
00960040-02bf-4df6-9665-542edb3eebe9,2022-09-30,0.5038730158730166,1
00960040-02bf-4df6-9665-542edb3eebe9,2023-05-23,0.6418208616780053,1
00960040-02bf-4df6-9665-542edb3eebe9,2023-12-14,0.6109705215419509,2
00960040-02bf-4df6-9665-542edb3eebe9,2024-06-06,0.5585192743764181,1
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2020-07-12,0.7018367346938776,1
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2021-08-01,0.45390022675737013,1
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2022-10-05,0.4837573696145132,1
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2023-11-29,0.44928253968254084,1
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2024-05-27,0.6818945578231291,1
00ab2a6e-044c-491f-bddb-7374904d7655,2020-08-16,0.7219251700680289,1
00ab2a6e-044c-491f-bddb-7374904d7655,2021-10-05,0.5092607709750573,1
00ab2a6e-044c-491f-bddb-7374904d7655,2022-09-25,0.5159761904761914,1
00ab2a6e-044c-491f-bddb-7374904d7655,2023-05-13,0.6136349206349205,1
00ab2a6e-044c-491f-bddb-7374904d7655,2023-11-29,0.584964474678762,2
00ab2a6e-044c-491f-bddb-7374904d7655,2024-07-01,0.7334406651549503,1
00ad8076-9f47-480c-a100-f19f365b241f,2020-05-08,0.5783548752834478,1
00ad8076-9f47-480c-a100-f19f365b241f,2023-05-18,0.4252142857142864,1
00ad8076-9f47-480c-a100-f19f365b241f,2023-12-09,0.5871043083900237,2
00ad8076-9f47-480c-a100-f19f365b241f,2024-05-22,0.7118866213151939,1
00ae85c9-1855-4802-954b-18647644c23f,2020-07-02,0.7273594104308391,1
00ae85c9-1855-4802-954b-18647644c23f,2021-08-31,0.7001080876795175,1
00ae85c9-1855-4802-954b-18647644c23f,2022-09-30,0.6484002267573706,1
00ae85c9-1855-4802-954b-18647644c23f,2023-07-17,0.7302244897959187,1
00ae85c9-1855-4802-954b-18647644c23f,2024-01-13,0.5896470143613012,1
00ae85c9-1855-4802-954b-18647644c23f,2024-08-20,0.7219886621315197,2
00b61ad3-149c-4761-b562-3faede20a853,2020-05-13,0.7662494331065771,1
00b61ad3-149c-4761-b562-3faede20a853,2020-11-24,0.5970031746031759,2
00b61ad3-149c-4761-b562-3faede20a853,2023-05-23,0.5436337868480731,1
00b61ad3-149c-4761-b562-3faede20a853,2023-12-24,0.6126734693877574,2
00b61ad3-149c-4761-b562-3faede20a853,2024-05-22,0.7599104308390036,1
00c0f32f-69e2-4a58-9474-3537ed7f246c,2020-11-24,0.5518484504913086,1
00c0f32f-69e2-4a58-9474-3537ed7f246c,2021-10-15,0.5341791383219961,1
00c0f32f-69e2-4a58-9474-3537ed7f246c,2022-09-15,0.5362414965986407,1
00c0f32f-69e2-4a58-9474-3537ed7f246c,2022-12-04,0.5575663265306128,2
00c0f32f-69e2-4a58-9474-3537ed7f246c,2023-05-08,0.575779591836735,1
00c0f32f-69e2-4a58-9474-3537ed7f246c,2023-11-24,0.6408894557823125,2
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2020-07-15,0.7724852607709766,1
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2020-12-07,0.4849977324263043,2
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2021-09-13,0.6666470830756556,1
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2022-09-08,0.5596360544217697,1
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2023-12-12,0.5099143990929708,1
00cc2741-4b4a-4df1-9d0f-29abc668d15d,2024-06-19,0.7754975704567552,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2020-05-13,0.6568866213151922,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2021-09-30,0.6141065759637198,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2022-11-04,0.5359433106575971,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2023-05-13,0.6753480725623584,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2023-07-22,0.6775578231292527,2
00cc8547-355b-42e9-835d-c7d5693e4ce5,2023-12-14,0.6856349206349198,3
00cc8547-355b-42e9-835d-c7d5693e4ce5,2024-06-06,0.6796734693877555,1
00cc8547-355b-42e9-835d-c7d5693e4ce5,2024-09-04,0.6702227891156476,2
00d09881-9184-4144-8200-ab80a95708e2,2020-04-08,0.6881326530612255,1
00d09881-9184-4144-8200-ab80a95708e2,2020-11-04,0.7244308390022682,2
00d09881-9184-4144-8200-ab80a95708e2,2021-08-11,0.6567505668934245,1
00d09881-9184-4144-8200-ab80a95708e2,2021-11-14,0.6598601662887388,2
00d09881-9184-4144-8200-ab80a95708e2,2022-09-25,0.7195260770975072,1
00d09881-9184-4144-8200-ab80a95708e2,2023-05-13,0.6943718820861673,1
00d09881-9184-4144-8200-ab80a95708e2,2023-09-30,0.6147074829931987,2
00d09881-9184-4144-8200-ab80a95708e2,2024-06-01,0.7154263038548755,1
00d09881-9184-4144-8200-ab80a95708e2,2024-09-09,0.7072517006802737,2
00df614b-249c-45b4-b89e-dc0741c23ec2,2020-05-21,0.5475137944066524,1
00df614b-249c-45b4-b89e-dc0741c23ec2,2022-10-08,0.5439801587301597,1
00df614b-249c-45b4-b89e-dc0741c23ec2,2023-07-15,0.6140558794946566,1
00df614b-249c-45b4-b89e-dc0741c23ec2,2023-12-12,0.5479246841593794,2
00df614b-249c-45b4-b89e-dc0741c23ec2,2024-06-14,0.6887208994708994,1
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2020-07-17,0.6988140589569172,1
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2021-09-30,0.6442879818594114,1
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2022-10-10,0.6480192743764179,1
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2023-05-08,0.6673197278911578,1
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2023-12-24,0.603727891156465,2
00e5bf79-750a-4a2a-8fb6-e45ecb505455,2024-06-06,0.6860362811791398,1
00eadc96-e4cb-41b4-a443-e9d94bf76c8e,2020-09-20,0.6281541950113387,1
00eadc96-e4cb-41b4-a443-e9d94bf76c8e,2021-08-06,0.6283900226757361,1
00eadc96-e4cb-41b4-a443-e9d94bf76c8e,2021-10-15,0.4721111111111119,2
00eadc96-e4cb-41b4-a443-e9d94bf76c8e,2022-06-07,0.6178888888888898,1
00eadc96-e4cb-41b4-a443-e9d94bf76c8e,2022-10-10,0.49723356009070374,2
